Chunk_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
31,7.0,0.8773999810218811,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['thought', 'today', 'popular', 'answer', 'hold', 'presidential', 'bid', 'today', 'brand', 'new', 'give', 'look', 'world', 'watch', 'tonight', 'today', 'live', 'night', 'vote', 'favorite', 'beauty', 'congratulation', 'night', 'huge', 'success', 'visit', 'trump', 'int', 'golf', 'link', 'course', 'unmatched', 'spectacular', 'come', 'office', 'today', 'visit', 'proud', 'competition', 'vote']"
32,8.0,0.6689000129699707,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['ca', 'interview', 'national', 'meeting', 'attend', 'people', 'huge', 'weekly', 'phoner', 'friend', 'morning', 'sound', 'issue', 'day', 'read', 'watch', 'recent', 'trip', 'make', 'trump', 'vineyard', 'estate', 'erictrump', 'wish', 'wonderful', 'weekend', 'great', 'celebration', 'great', 'country', 'tomorrow', 'go', 'open', 'new', 'hotel', 'fantastic', 'building', 'fantastic', 'location', 'kind', 'thinking', 'need', 'time', 'cut', 'cap', 'balance', 'revenue', 'problem', 'debt', 'limit', 'can', 'raise', 'obama', 'spending', 'contain', 'negotiate', 'barackobama', 'today', 'debt', 'talk', 'cut', 'cap', 'balance', 'art', 'deal', 'good', 'thing', 'deal', 'strength', 'leverage', 'big', 'strength', 'cut', 'cap', 'balance', 'focus', 'balance', 'budget', 'weakening', 'would', 'path', 'solvency']"
33,0.0,0.47699999809265137,"people, country, fake, many, year, big, want, job, make, go","['message', 'bad', 'thing', 'deal', 'seem', 'desperate', 'make', 'art', 'deal', 'iranian', 'weapon', 'kill', 'deficit', 'transfer', 'want', 'cut', 'take', 'baseball', 'today', 'open', 'incredible', 'bring', 'balanced', 'budget', 'amendment', 'floor', 'vote', 'let', 'ball', 'roll', 'much', 'pay', 'emphasize', 'positive', 'time', 'deal', 'get', 'hit', 'youtube', 'flatter', 'thought', 'debt', 'ceiling', 'today']"
34,7.0,0.7196999788284302,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['debt', 'ceiling', 'deal', 'bad', 'deal', 'interview', 'last', 'night', 'go', 'try', 'push', 'gun', 'control', 'answer', 'project', 'gun', 'runner', 'abandon', 'engage', 'arab', 'world', 'name', 'top', 'good', 'hotel', 'trump', 'int', 'hotel', 'take', 'look', 'see', 'beautiful', 'hotel', 'cut', 'cap', 'balance', 'tax', 'well', 'advice', 'art', 'deal', 'rule', 'radical', 'know', 'barackobama', 'prefer', 'find', 'missteenusa', 'teenusa', 'increase', 'discretionary', 'spending', 'amass', 'debt']"
35,8.0,0.46389999985694885,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['nee', 'create', 'taxpayer', 'taxis', 'cut', 'cap', 'balance', 'congratulation', 'daughter', 'ivanka', 'husband', 'daughter', 'rise', 'yesterday', 'must', 'act', 'let', 'push', 'sell', 'gun', 'mexican', 'drug', 'lord', 'erode', 'right', 'dollar', 'barackobama', 'spend', 'cost', 'interest', 'borrow', 'back', 'cut', 'cap', 'balance', 'opportunity', 'waste', 'opportunity', 'defunde', 'obamacare', 'deal', 'order', 'raise', 'debt', 'limit', 'low', 'nation', 'sink', 'ericcantor', 'con', 'people', 'deliver', 'good', 'people', 'catch', 'art', 'deal', 'barackobama', 'seek', 'destroy', 'credit', 'economy', 'continue', 'hemorrhage', 'job', 'total', 'failure', 'president', 'obamacare', 'big', 'tax', 'increase', 'history', 'repeal', 'part', 'deal']"
36,0.0,0.3695000112056732,"people, country, fake, many, year, big, want, job, make, go","['check', 'robust', 'economic', 'growth', 'answer', 'problem', 'cut', 'elderly', 'obama', 'addict', 'spend', 'insolvency', 'prove', 'enemy', 'want', 'destroy', 'redstate', 'interview', 'could', 'use', 'balanced', 'budget', 'amendment', 'politician', 'cut', 'spend', 'gang', 'unmitigated', 'disaster', 'deal', 'need', 'interview', 'last', 'night', 'leader', 'lead', 'oblivion', 'increase', 'debt', 'weaken', 'secret', 'great', 'book', 'read', 'continue', 'attack', 'lead', 'rise', 'gas', 'price', 'pump', 'lot', 'bad', 'thing']"
37,2.0,0.9854999780654907,"change, rate, must, case, whole, low, obamacare, safety, judge, price","['need', 'balanced', 'budget', 'amendment', 'fiscal', 'discipline', 'answer', 'robust', 'grow', 'economy', 'cut', 'elderly', 'pressure', 'debt', 'ceiling', 'business', 'private', 'sector', 'background', 'show', 'fiscal', 'mismanagement', 'cash', 'cost', 'taxpayer', 'billion', 'cut', 'fraud', 'waste', 'cut', 'funding', 'senior', 'thought', 'situation', 'yesterday', 'friend', 'crazy', 'get', 'want', 'great', 'time', 'new', 'think', 'much', 'debt', 'put', 'default', 'kill', 'need', 'tough', 'negotiator', 'high', 'taxis', 'kill', 'job', 'creation', 'cut', 'wild', 'government', 'spend', 'waste']"
38,2.0,0.5544999837875366,"change, rate, must, case, whole, low, obamacare, safety, judge, price","['proud', 'know', 'walk', 'table', 'art', 'deal', 'people', 'ask', 'day', 'pose', 'picture', 'camera', 'work', 'first', 'time', 'prepare', 'nervous', 'interview', 'yesterday', 'lose', 'boehner', 'must', 'fold', 'new', 'ad', 'criticize', 'excessive', 'spend', 'debt', 'borrow', 'thing', 'tweet', 'question', 'bad', 'thing', 'deal', 'seem', 'desperate', 'make', 'art', 'deal', 'wife', 'show', 'tremendous', 'success', 'last', 'night', 'case', 'miss', 'see', 'tonight', 'release', 'debt', 'plan', 'lose', 'ineffective', 'desperate', 'good', 'chance', 'make', 'great', 'deal', 'appreciate', 'word']"
39,7.0,0.4489000141620636,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['get', 'swing', 'sword', 'great', 'coach', 'write', 'great', 'book', 'worth', 'read', 'quit', 'hit', 'art', 'comeback', 'find', 'agree', 'future', 'spending', 'cut', 'bad', 'idea', 'obama', 'fight', 'fight', 'next', 'year', 'lose', 'watch', 'fine', 'detail', 'deal', 'art', 'deal', 'watch', 'sean', 'hannity', 'last', 'night', 'great', 'guy', 'tax', 'important', 'victory', 'need', 'economic', 'growth', 'job', 'blue', 'ribbon', 'panel', 'study', 'problem', 'presidential', 'pollster', 'say', 'voter', 'sick', 'party', 'failure', 'disappoint', 'dem', 'give', 'power', 'raise', 'debt', 'limit', 'next', 'year', 'mistake', 'good', 'deal', 'republican', 'could']"
40,7.0,0.5033000111579895,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['defense', 'must', 'remain', 'strong', 'deal', 'help', 'strengthen', 'create', 'economic', 'problem', 'question', 'desk', 'answer', 'today', 'learn', 'debt', 'deal', 'bad', 'get', 'yesterday', 'debt', 'deal', 'cont', 'taxis', 'good', 'thing', 'debt', 'deal', 'would', 'approve', 'deal', 'politician', 'good', 'negotiator', 'eat', 'lunch']"
41,7.0,0.8432999849319458,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['believe', 'great', 'proper', 'leadership', 'republican', 'give', 'get', 'morning', 'panel', 'steal', 'many', 'statement', 'idea', 'well', 'give', 'credit', 'story', 'life', 'today', 'answer', 'tweet', 'thought', 'republican', 'candidate', 'watch', 'tonight', 'donate', 'enough', 'pizza', 'feed', 'police', 'interview', 'last', 'night', 'debt', 'become', 'coincidence', 'demand', 'raise', 'debt', 'ceiling', 'rating', 'agency', 'downgrade', 'leader', 'hope', 'answer', 'question', 'uncertain', 'economy']"
42,7.0,0.25060001015663147,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['care', 'devastating', 'impact', 'economy', 'new', 'confidant', 'commander', 'downgrade', 'direct', 'result', 'increase', 'reckless', 'budget', 'spend', 'care', 'own', 'hire', 'listen', 'apprentice', 'last', 'night', 'news', 'nation', 'become', 'talk', 'action', 'yesterday', 'loser', 'personal', 'publicity', 'order', 'straighten', 'terrible', 'get', 'work', 'work', 'resolve', 'go', 'former', 'apprentice', 'politic', 'listen', 'live', 'new', 'show', 'apprentice', 'tell']"
43,7.0,0.7861999869346619,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['take', 'swipe', 'state', 'capital', 'get', 'want', 'vacation', 'oil', 'start', 'rise', 'horrible', 'continue', 'rip', 'worth', 'new', 'leadership', 'need', 'continue', 'flood', 'market', 'dollar', 'wrong', 'move', 'interview', 'yesterday', 'talk', 'financial', 'future', 'look', 'debate', 'outcome', 'straw', 'poll', 'must', 'real', 'leader', 'defend', 'record', 'job', 'romneycare', 'tonight', 'debate', 'see', 'sick', 'career', 'politician', 'interview', 'second', 'season', 'cont']"
44,7.0,0.4099000096321106,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['understanding', 'create', 'job', 'opportunity', 'believe', 'government', 'right', 'wasting', 'trillion', 'dollar', 'say', 'would', 'happy', 'economic', 'growth', 'save', 'reporter', 'say', 'trump', 'tell', 'stock', 'market', 'go', 'play', 'yesterday', 'vacation', 'work', 'today', 'unemployment', 'plague', 'black', 'hispanic', 'youth', 'friend', 'interview']"
45,7.0,0.9726999998092651,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['good', 'example', 'country', 'waste', 'owe', 'money', 'speak', 'market', 'go', 'tell', 'stock', 'market', 'go', 'way', 'personal', 'favorite', 'interview', 'morning', 'approval', 'rate', 'high', 'interview', 'miss', 'vacation', 'say', 'waste', 'life', 'money', 'macmiller', 'today', 'lose', 'give']"
